Country names,RCT_ID,RCT_ID_duplicates,country,region_detail,continent,continent_region,country_count,region_count,is_multi_country,is_multi_region,is_online
Kenya (National),AEARCTR-0000005,AEARCTR-0000005,Kenya,No additional info,Africa,East Africa,1,0,False,False,False
Nigeria (Africa),AEARCTR-0000006,AEARCTR-0000006,Nigeria,No additional info,Africa,West Africa,1,0,False,False,False
Private,AEARCTR-0000008,AEARCTR-0000008,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0000009,AEARCTR-0000009,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0000010,AEARCTR-0000010,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
India (Bihar - Bhojpur District),AEARCTR-0000011,AEARCTR-0000011,India,Bihar - Bhojpur District,Asia,South Asia,1,1,False,False,False
Private,AEARCTR-0000013,AEARCTR-0000013,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Ghana (Africa),AEARCTR-0000015,AEARCTR-0000015,Ghana,No additional info,Africa,West Africa,1,0,False,False,False
"Kenya (); Tanzania, United Republic of ()",AEARCTR-0000016,AEARCTR-0000016_1,Kenya,No additional info,Africa,East Africa,2,0,True,False,False
"Kenya (); Tanzania, United Republic of ()",AEARCTR-0000016,AEARCTR-0000016_2,Tanzania,No additional info,Africa,East Africa,2,0,True,False,False
Kenya (Rarieda),AEARCTR-0000017,AEARCTR-0000017,Kenya,Rarieda,Africa,East Africa,1,1,False,False,False
Kenya (Rarieda),AEARCTR-0000019,AEARCTR-0000019,Kenya,Rarieda,Africa,East Africa,1,1,False,False,False
Private,AEARCTR-0000021,AEARCTR-0000021,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Zambia (Africa),AEARCTR-0000022,AEARCTR-0000022,Zambia,No additional info,Africa,Southern Africa,1,0,False,False,False
Private,AEARCTR-0000023,AEARCTR-0000023,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
El Salvador (Central America); United States of America (North America),AEARCTR-0000024,AEARCTR-0000024_1,El Salvador,No additional info,North America,Central America,2,0,True,False,False
El Salvador (Central America); United States of America (North America),AEARCTR-0000024,AEARCTR-0000024_2,United States of America,No additional info,North America,North America,2,0,True,False,False
